technique,score_threshold_rule,truth_threshold_rule,average_score,tp,fp,tn,fn,accuracy,precision,recall,f1
semantic_based,mean_minus_5pct,mean_minus_5pct,0.8679494451612867,9022,2498,2412,1568,0.7376774193548387,0.7831597222222222,0.8519357884796979,0.8161013116236997
semantic_based,mean_minus_5pct,mean_minus_10pct,0.8679494451612867,10129,1391,1869,2111,0.7740645161290323,0.8792534722222223,0.827532679738562,0.8526094276094277
semantic_based,mean_minus_5pct,mean_minus_15pct,0.8679494451612867,10760,760,1320,2660,0.7793548387096774,0.9340277777777778,0.8017883755588674,0.8628708901363271
semantic_based,mean_minus_5pct,mean_minus_16pct,0.8679494451612867,10845,675,1220,2760,0.7783870967741936,0.94140625,0.7971334068357222,0.8632835820895524
semantic_based,mean_minus_10pct,mean,0.8679494451612867,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
semantic_based,mean_minus_10pct,mean_minus_5pct,0.8679494451612867,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
semantic_based,mean_minus_10pct,mean_minus_10pct,0.8679494451612867,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
semantic_based,mean_minus_10pct,mean_minus_15pct,0.8679494451612867,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
semantic_based,mean_minus_10pct,mean_minus_16pct,0.8679494451612867,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
semantic_based,mean_minus_15pct,mean,0.8679494451612867,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
semantic_based,mean_minus_15pct,mean_minus_5pct,0.8679494451612867,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
semantic_based,mean_minus_15pct,mean_minus_10pct,0.8679494451612867,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
semantic_based,mean_minus_15pct,mean_minus_15pct,0.8679494451612867,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
semantic_based,mean_minus_15pct,mean_minus_16pct,0.8679494451612867,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
semantic_based,mean_minus_16pct,mean,0.8679494451612867,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
semantic_based,mean_minus_16pct,mean_minus_5pct,0.8679494451612867,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
semantic_based,mean_minus_16pct,mean_minus_10pct,0.8679494451612867,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
semantic_based,mean_minus_16pct,mean_minus_15pct,0.8679494451612867,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
semantic_based,mean_minus_16pct,mean_minus_16pct,0.8679494451612867,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
