tta_method,composition_id,composition_clients,composition_length,corruption,clean_samples,corruption_samples,before_clean_accuracy,before_corruption_accuracy,before_mixed_accuracy,adapted_clean_accuracy,adapted_corruption_accuracy,adapted_mixed_accuracy,gain_clean,gain_corruption,gain_mixed
tta_memo,composition_0_3_4,"client_0,client_3,client_4",3,zigzag,100,100,1.0,0.77,0.885,1.0,0.8,0.9,0.0,0.030000000000000027,0.015000000000000013
tent,composition_0_4,"client_0,client_4",2,brightness,100,100,1.0,0.29,0.645,1.0,0.96,0.88,0.0,0.6699999999999999,0.235
tta_bn,composition_0_4,"client_0,client_4",2,brightness,100,100,1.0,0.29,0.645,0.45,0.94,0.695,-0.55,0.6499999999999999,0.04999999999999993
tta_memo,composition_0_4,"client_0,client_4",2,brightness,100,100,1.0,0.29,0.645,0.96,0.57,0.765,-0.040000000000000036,0.27999999999999997,0.12
tent,composition_0_4,"client_0,client_4",2,zigzag,100,100,1.0,0.78,0.89,1.0,0.81,0.895,0.0,0.030000000000000027,0.0050000000000000044
tta_bn,composition_0_4,"client_0,client_4",2,zigzag,100,100,1.0,0.78,0.89,0.98,0.85,0.915,-0.020000000000000018,0.06999999999999995,0.025000000000000022
tta_memo,composition_0_4,"client_0,client_4",2,zigzag,100,100,1.0,0.78,0.89,0.99,0.8,0.895,-0.010000000000000009,0.020000000000000018,0.0050000000000000044
tent,composition_1,client_1,1,brightness,100,100,0.98,0.34,0.66,0.98,0.95,0.86,0.0,0.6099999999999999,0.19999999999999996
tta_bn,composition_1,client_1,1,brightness,100,100,0.98,0.34,0.66,0.41,0.93,0.67,-0.5700000000000001,0.5900000000000001,0.010000000000000009
tta_memo,composition_1,client_1,1,brightness,100,100,0.98,0.34,0.66,0.92,0.51,0.715,-0.05999999999999994,0.16999999999999998,0.05499999999999994
tent,composition_1,client_1,1,zigzag,100,100,0.98,0.81,0.895,0.98,0.82,0.9,0.0,0.009999999999999898,0.0050000000000000044
tta_bn,composition_1,client_1,1,zigzag,100,100,0.98,0.81,0.895,0.96,0.85,0.905,-0.020000000000000018,0.039999999999999925,0.010000000000000009
tta_memo,composition_1,client_1,1,zigzag,100,100,0.98,0.81,0.895,0.98,0.81,0.895,0.0,0.0,0.0
tent,composition_1_2,"client_1,client_2",2,brightness,100,100,1.0,0.27,0.635,1.0,0.97,0.875,0.0,0.7,0.24
tta_bn,composition_1_2,"client_1,client_2",2,brightness,100,100,1.0,0.27,0.635,0.49,0.96,0.725,-0.51,0.69,0.08999999999999997
tta_memo,composition_1_2,"client_1,client_2",2,brightness,100,100,1.0,0.27,0.635,0.94,0.45,0.695,-0.06000000000000005,0.18,0.05999999999999994
tent,composition_1_2,"client_1,client_2",2,zigzag,100,100,1.0,0.79,0.895,1.0,0.8,0.89,0.0,0.010000000000000009,-0.0050000000000000044
tta_bn,composition_1_2,"client_1,client_2",2,zigzag,100,100,1.0,0.79,0.895,0.99,0.8,0.895,-0.010000000000000009,0.010000000000000009,0.0
tta_memo,composition_1_2,"client_1,client_2",2,zigzag,100,100,1.0,0.79,0.895,0.99,0.8,0.895,-0.010000000000000009,0.010000000000000009,0.0
tent,composition_1_2_3,"client_1,client_2,client_3",3,brightness,100,100,1.0,0.19,0.595,1.0,0.97,0.88,0.0,0.78,0.28500000000000003
tta_bn,composition_1_2_3,"client_1,client_2,client_3",3,brightness,100,100,1.0,0.19,0.595,0.54,0.97,0.755,-0.45999999999999996,0.78,0.16000000000000003
tta_memo,composition_1_2_3,"client_1,client_2,client_3",3,brightness,100,100,1.0,0.19,0.595,0.97,0.41,0.69,-0.030000000000000027,0.21999999999999997,0.09499999999999997
tent,composition_1_2_3,"client_1,client_2,client_3",3,zigzag,100,100,1.0,0.8,0.9,1.0,0.83,0.91,0.0,0.029999999999999916,0.010000000000000009
tta_bn,composition_1_2_3,"client_1,client_2,client_3",3,zigzag,100,100,1.0,0.8,0.9,0.99,0.82,0.905,-0.010000000000000009,0.019999999999999907,0.0050000000000000044
tta_memo,composition_1_2_3,"client_1,client_2,client_3",3,zigzag,100,100,1.0,0.8,0.9,1.0,0.81,0.905,0.0,0.010000000000000009,0.0050000000000000044
tent,composition_1_2_3_4,"client_1,client_2,client_3,client_4",4,brightness,100,100,1.0,0.24,0.62,1.0,0.97,0.885,0.0,0.73,0.265
tta_bn,composition_1_2_3_4,"client_1,client_2,client_3,client_4",4,brightness,100,100,1.0,0.24,0.62,0.53,0.95,0.74,-0.47,0.71,0.12
tta_memo,composition_1_2_3_4,"client_1,client_2,client_3,client_4",4,brightness,100,100,1.0,0.24,0.62,0.95,0.46,0.705,-0.050000000000000044,0.22000000000000003,0.08499999999999996
tent,composition_1_2_3_4,"client_1,client_2,client_3,client_4",4,zigzag,100,100,1.0,0.8,0.9,1.0,0.83,0.905,0.0,0.029999999999999916,0.0050000000000000044
