composition_id,composition_clients,composition_length,corruption,clean_samples,corruption_samples,before_clean_accuracy,before_corruption_accuracy,before_mixed_accuracy,composition_tent_clean_accuracy,composition_tent_corruption_accuracy,composition_tent_mixed_accuracy,composition_tent_gain_mixed,composition_tent_gain_corruption,composition_tta_bn_clean_accuracy,composition_tta_bn_corruption_accuracy,composition_tta_bn_mixed_accuracy,composition_tta_bn_gain_mixed,composition_tta_bn_gain_corruption,composition_tta_memo_clean_accuracy,composition_tta_memo_corruption_accuracy,composition_tta_memo_mixed_accuracy,composition_tta_memo_gain_mixed,composition_tta_memo_gain_corruption,composition_full_adapt_clean_accuracy,composition_full_adapt_corruption_accuracy,composition_full_adapt_mixed_accuracy,composition_full_adapt_gain_mixed,composition_full_adapt_gain_corruption,composition_gala_clean_accuracy,composition_gala_corruption_accuracy,composition_gala_mixed_accuracy,composition_gala_gain_mixed,composition_gala_gain_corruption,gala_num_groups,gala_selected_group_0,gala_selected_group_1,gala_selected_group_2,gala_selected_group_3,gala_selected_group_4,gala_selected_group_5,gala_skipped_steps
composition_0_1_3,"client_0,client_1,client_3",3,brightness,50,50,1.0,0.28,0.64,1.0,0.98,0.72,0.07999999999999996,0.7,0.56,0.98,0.77,0.13,0.7,1.0,0.34,0.67,0.030000000000000027,0.06,0.98,0.0,0.49,-0.15000000000000002,-0.28,1.0,0.0,0.5,-0.14,-0.28,6,29,12,8,6,4,6,0
composition_0_1_3,"client_0,client_1,client_3",3,zigzag,50,50,1.0,0.82,0.91,1.0,0.84,0.91,0.0,0.020000000000000018,1.0,0.84,0.92,0.010000000000000009,0.020000000000000018,1.0,0.82,0.91,0.0,0.0,0.98,0.86,0.92,0.010000000000000009,0.040000000000000036,1.0,0.82,0.91,0.0,0.0,6,5,16,4,4,6,5,25
composition_0_1_3_4,"client_0,client_1,client_3,client_4",4,brightness,50,50,1.0,0.32,0.66,1.0,0.98,0.75,0.08999999999999997,0.6599999999999999,0.56,0.98,0.77,0.10999999999999999,0.6599999999999999,1.0,0.34,0.67,0.010000000000000009,0.020000000000000018,0.98,0.0,0.49,-0.17000000000000004,-0.32,1.0,0.0,0.5,-0.16000000000000003,-0.32,6,26,12,10,6,4,7,0
composition_0_1_3_4,"client_0,client_1,client_3,client_4",4,glass_blur,50,50,1.0,0.88,0.94,1.0,0.88,0.94,0.0,0.0,1.0,0.88,0.94,0.0,0.0,1.0,0.88,0.94,0.0,0.0,0.98,0.78,0.88,-0.05999999999999994,-0.09999999999999998,0.96,0.48,0.72,-0.21999999999999997,-0.4,6,8,16,5,5,6,6,19
composition_0_1_3_4,"client_0,client_1,client_3,client_4",4,zigzag,50,50,1.0,0.82,0.91,1.0,0.84,0.92,0.010000000000000009,0.020000000000000018,1.0,0.84,0.92,0.010000000000000009,0.020000000000000018,1.0,0.82,0.91,0.0,0.0,0.98,0.86,0.92,0.010000000000000009,0.040000000000000036,1.0,0.84,0.92,0.010000000000000009,0.020000000000000018,6,5,15,4,4,5,7,25
composition_0_2,"client_0,client_2",2,brightness,50,50,1.0,0.24,0.62,1.0,1.0,0.71,0.08999999999999997,0.76,0.6,0.98,0.79,0.17000000000000004,0.74,1.0,0.3,0.65,0.030000000000000027,0.06,1.0,0.0,0.5,-0.12,-0.24,1.0,0.0,0.5,-0.12,-0.24,6,21,15,5,14,5,5,0
composition_0_2,"client_0,client_2",2,glass_blur,50,50,1.0,0.84,0.92,1.0,0.88,0.93,0.010000000000000009,0.040000000000000036,1.0,0.88,0.94,0.019999999999999907,0.040000000000000036,1.0,0.86,0.93,0.010000000000000009,0.020000000000000018,0.94,0.66,0.8,-0.12,-0.17999999999999994,1.0,0.8,0.9,-0.020000000000000018,-0.039999999999999925,6,5,13,4,12,5,6,20
composition_0_2,"client_0,client_2",2,stripe,50,50,1.0,0.9,0.95,1.0,0.92,0.96,0.010000000000000009,0.020000000000000018,0.68,0.84,0.76,-0.18999999999999995,-0.06000000000000005,1.0,0.9,0.95,0.0,0.0,1.0,0.9,0.95,0.0,0.0,1.0,0.9,0.95,0.0,0.0,6,8,11,6,6,7,6,21
composition_0_2_3,"client_0,client_2,client_3",3,glass_blur,50,50,1.0,0.88,0.94,1.0,0.86,0.94,0.0,-0.020000000000000018,1.0,0.86,0.93,-0.009999999999999898,-0.020000000000000018,1.0,0.88,0.94,0.0,0.0,1.0,0.88,0.94,0.0,0.0,1.0,0.84,0.92,-0.019999999999999907,-0.040000000000000036,6,6,20,5,10,6,6,12
composition_0_2_4,"client_0,client_2,client_4",3,brightness,50,50,1.0,0.28,0.64,1.0,1.0,0.73,0.08999999999999997,0.72,0.62,1.0,0.81,0.17000000000000004,0.72,1.0,0.36,0.68,0.040000000000000036,0.07999999999999996,1.0,0.0,0.5,-0.14,-0.28,1.0,0.0,0.5,-0.14,-0.28,6,15,17,8,15,5,5,0
composition_0_2_4,"client_0,client_2,client_4",3,stripe,50,50,1.0,0.9,0.95,1.0,0.9,0.97,0.020000000000000018,0.0,0.66,0.88,0.77,-0.17999999999999994,-0.020000000000000018,1.0,0.9,0.95,0.0,0.0,1.0,0.9,0.95,0.0,0.0,1.0,0.9,0.95,0.0,0.0,6,9,11,7,7,5,6,20
composition_0_3,"client_0,client_3",2,zigzag,50,50,1.0,0.8,0.9,1.0,0.84,0.91,0.010000000000000009,0.039999999999999925,1.0,0.84,0.92,0.020000000000000018,0.039999999999999925,1.0,0.82,0.91,0.010000000000000009,0.019999999999999907,1.0,0.86,0.93,0.030000000000000027,0.05999999999999994,1.0,0.84,0.92,0.020000000000000018,0.039999999999999925,6,5,17,4,4,5,5,25
composition_0_3_4,"client_0,client_3,client_4",3,glass_blur,50,50,1.0,0.86,0.93,1.0,0.88,0.94,0.009999999999999898,0.020000000000000018,1.0,0.88,0.94,0.009999999999999898,0.020000000000000018,1.0,0.88,0.94,0.009999999999999898,0.020000000000000018,0.94,0.58,0.76,-0.17000000000000004,-0.28,1.0,0.84,0.92,-0.010000000000000009,-0.020000000000000018,6,4,21,4,9,6,8,13
composition_0_4,"client_0,client_4",2,brightness,50,50,1.0,0.34,0.67,1.0,1.0,0.77,0.09999999999999998,0.6599999999999999,0.58,0.98,0.78,0.10999999999999999,0.6399999999999999,1.0,0.36,0.68,0.010000000000000009,0.019999999999999962,0.98,0.0,0.49,-0.18000000000000005,-0.34,1.0,0.0,0.5,-0.17000000000000004,-0.34,6,16,15,6,12,5,10,1
composition_0_4,"client_0,client_4",2,glass_blur,50,50,1.0,0.86,0.93,1.0,0.86,0.94,0.009999999999999898,0.0,1.0,0.88,0.94,0.009999999999999898,0.020000000000000018,1.0,0.86,0.93,0.0,0.0,0.96,0.68,0.82,-0.1100000000000001,-0.17999999999999994,1.0,0.84,0.92,-0.010000000000000009,-0.020000000000000018,6,7,20,5,8,7,7,11
composition_0_4,"client_0,client_4",2,stripe,50,50,1.0,0.86,0.93,1.0,0.86,0.98,0.04999999999999993,0.0,0.66,0.82,0.74,-0.19000000000000006,-0.040000000000000036,1.0,0.9,0.95,0.019999999999999907,0.040000000000000036,0.96,0.6,0.78,-0.15000000000000002,-0.26,1.0,0.82,0.91,-0.020000000000000018,-0.040000000000000036,6,5,9,7,6,5,6,27
