technique,score_threshold_rule,truth_threshold_rule,average_score,tp,fp,tn,fn,accuracy,precision,recall,f1
semantic_based,mean_minus_15pct,mean_minus_15pct,0.8698320774193545,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
semantic_based,mean_minus_15pct,mean_minus_16pct,0.8698320774193545,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
semantic_based,mean_minus_16pct,mean,0.8698320774193545,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
semantic_based,mean_minus_16pct,mean_minus_5pct,0.8698320774193545,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
semantic_based,mean_minus_16pct,mean_minus_10pct,0.8698320774193545,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
semantic_based,mean_minus_16pct,mean_minus_15pct,0.8698320774193545,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
semantic_based,mean_minus_16pct,mean_minus_16pct,0.8698320774193545,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
similarity_based,mean,mean,0.5945513801558803,3331,3909,3061,5199,0.41238709677419355,0.4600828729281768,0.39050410316529893,0.42244768547875716
similarity_based,mean,mean_minus_5pct,0.5945513801558803,4362,2878,2032,6228,0.41251612903225804,0.6024861878453038,0.41189801699716716,0.48928771733034215
similarity_based,mean,mean_minus_10pct,0.5945513801558803,5236,2004,1256,7004,0.4188387096774194,0.7232044198895028,0.42777777777777776,0.5375770020533881
similarity_based,mean,mean_minus_15pct,0.5945513801558803,5927,1313,767,7493,0.4318709677419355,0.818646408839779,0.4416542473919523,0.5737657308809293
similarity_based,mean,mean_minus_16pct,0.5945513801558803,6034,1206,689,7571,0.43374193548387097,0.8334254143646409,0.443513414185961,0.5789397937155194
similarity_based,mean_minus_5pct,mean,0.5945513801558803,5651,5669,1301,2879,0.44851612903225807,0.49920494699646645,0.662485345838218,0.5693702770780856
similarity_based,mean_minus_5pct,mean_minus_5pct,0.5945513801558803,7231,4089,821,3359,0.519483870967742,0.6387809187279152,0.6828139754485364,0.6600638977635782
similarity_based,mean_minus_5pct,mean_minus_10pct,0.5945513801558803,8562,2758,502,3678,0.5847741935483871,0.7563604240282685,0.6995098039215686,0.726825127334465
similarity_based,mean_minus_5pct,mean_minus_15pct,0.5945513801558803,9549,1771,309,3871,0.636,0.8435512367491166,0.7115499254843517,0.7719482619240098
similarity_based,mean_minus_5pct,mean_minus_16pct,0.5945513801558803,9705,1615,280,3900,0.6441935483870967,0.8573321554770318,0.7133406835722161,0.7787362086258777
similarity_based,mean_minus_10pct,mean,0.5945513801558803,7452,6388,582,1078,0.5183225806451612,0.5384393063583816,0.873622508792497,0.6662494412159142
similarity_based,mean_minus_10pct,mean_minus_5pct,0.5945513801558803,9342,4498,412,1248,0.6292903225806452,0.675,0.8821529745042493,0.7647973802701598
similarity_based,mean_minus_10pct,mean_minus_10pct,0.5945513801558803,10839,3001,259,1401,0.716,0.7831647398843931,0.8855392156862745,0.8312116564417178
similarity_based,mean_minus_10pct,mean_minus_15pct,0.5945513801558803,11913,1927,153,1507,0.7784516129032258,0.8607658959537572,0.8877049180327868,0.8740278796771827
similarity_based,mean_minus_10pct,mean_minus_16pct,0.5945513801558803,12081,1759,136,1524,0.7881935483870968,0.8729046242774566,0.8879823594266814,0.8803789396975771
similarity_based,mean_minus_15pct,mean,0.5945513801558803,8035,6685,285,495,0.5367741935483871,0.5458559782608695,0.9419695193434936,0.6911827956989247
similarity_based,mean_minus_15pct,mean_minus_5pct,0.5945513801558803,10003,4717,193,587,0.6578064516129032,0.6795516304347826,0.9445703493862134,0.7904385618332676
similarity_based,mean_minus_15pct,mean_minus_10pct,0.5945513801558803,11580,3140,120,660,0.7548387096774194,0.7866847826086957,0.946078431372549,0.8590504451038576
similarity_based,mean_minus_15pct,mean_minus_15pct,0.5945513801558803,12707,2013,67,713,0.8241290322580646,0.8632472826086957,0.9468703427719821,0.9031272210376688
similarity_based,mean_minus_15pct,mean_minus_16pct,0.5945513801558803,12887,1833,62,718,0.8354193548387097,0.8754755434782608,0.9472252848217567,0.9099382171226831
similarity_based,mean_minus_16pct,mean,0.5945513801558803,8108,6752,218,422,0.5371612903225806,0.5456258411843876,0.9505275498241501,0.6932877297990594
similarity_based,mean_minus_16pct,mean_minus_5pct,0.5945513801558803,10098,4762,148,492,0.6610322580645162,0.6795423956931359,0.9535410764872522,0.7935559921414538
similarity_based,mean_minus_16pct,mean_minus_10pct,0.5945513801558803,11697,3163,97,543,0.7609032258064516,0.7871467025572005,0.9556372549019608,0.8632472324723246
similarity_based,mean_minus_16pct,mean_minus_15pct,0.5945513801558803,12837,2023,57,583,0.8318709677419355,0.8638627187079407,0.9565573770491803,0.9078500707213578
