corruption,mean_accuracy,scale,threshold,precision,recall,accuracy,f1
jpeg_compression,0.3502768987341772,0.6,0.21016613924050634,0.4358974358974359,0.9714285714285714,0.43037974683544306,0.6017699115044248
jpeg_compression,0.3502768987341772,0.7,0.24519382911392404,0.4342105263157895,0.9428571428571428,0.43037974683544306,0.5945945945945946
jpeg_compression,0.3502768987341772,0.8,0.28022151898734177,0.4696969696969697,0.8857142857142857,0.5063291139240507,0.6138613861386139
jpeg_compression,0.3502768987341772,0.9,0.3152492088607595,0.484375,0.8857142857142857,0.5316455696202531,0.6262626262626262
jpeg_compression,0.3502768987341772,1.0,0.3502768987341772,0.4918032786885246,0.8571428571428571,0.5443037974683544,0.625
jpeg_compression,0.3502768987341772,1.1,0.385304588607595,0.45454545454545453,0.7142857142857143,0.4936708860759494,0.5555555555555556
jpeg_compression,0.3502768987341772,1.2,0.4203322784810127,0.43137254901960786,0.6285714285714286,0.46835443037974683,0.5116279069767442
jpeg_compression,0.3502768987341772,1.3,0.4553599683544304,0.4523809523809524,0.5428571428571428,0.5063291139240507,0.49350649350649345
jpeg_compression,0.3502768987341772,1.4,0.4903876582278481,0.4358974358974359,0.4857142857142857,0.4936708860759494,0.45945945945945943
jpeg_compression,0.3502768987341772,1.5,0.5254153481012658,0.4411764705882353,0.42857142857142855,0.5063291139240507,0.43478260869565216
motion_blur,0.3565071202531645,0.5,0.17825356012658225,0.0,0.0,0.06962025316455696,0.0
motion_blur,0.3565071202531645,0.6,0.2139042721518987,0.0,0.0,0.08860759493670886,0.0
motion_blur,0.3565071202531645,0.7,0.24955498417721514,0.0,0.0,0.12025316455696203,0.0
motion_blur,0.3565071202531645,0.8,0.2852056962025316,0.0,0.0,0.16455696202531644,0.0
motion_blur,0.3565071202531645,0.9,0.32085640822784806,0.0,0.0,0.22151898734177214,0.0
motion_blur,0.3565071202531645,1.0,0.3565071202531645,0.0,0.0,0.2468354430379747,0.0
