tta_method,case,performing_clients,performing_length,tta_client,tta_corruption,clean_samples,corruption_samples,initial_mixed_accuracy,protected_v2_mixed_accuracy,protected_v2_gain_vs_initial_mixed,model_pref_tta_weight,bn_pref_tta_weight,sum_pref_tta_weight
tent,perf_1_3_4_plus_2_on_brightness,"client_1,client_3,client_4",3,client_2,brightness,50,50,0.64,0.66,0.020000000000000018,0.00011206331562803798,0.04230512140179677,0.04241718471742481
tent,perf_0_1_3_4_plus_2_on_brightness,"client_0,client_1,client_3,client_4",4,client_2,brightness,50,50,0.64,0.66,0.020000000000000018,0.00014516133154193745,0.04141419325511268,0.04155935458665462
tent,perf_0_4_plus_2_on_glass_blur,"client_0,client_4",2,client_2,glass_blur,50,50,0.92,0.93,0.010000000000000009,6.879993014095684e-05,0.019516999009088713,0.019585798939229668
tent,perf_1_3_plus_2_on_glass_blur,"client_1,client_3",2,client_2,glass_blur,50,50,0.93,0.94,0.009999999999999898,7.32836257623124e-05,0.03519345976320399,0.0352667433889663
tent,perf_0_3_4_plus_2_on_glass_blur,"client_0,client_3,client_4",3,client_2,glass_blur,50,50,0.93,0.94,0.009999999999999898,0.00011231900088131322,0.024300493957508513,0.024412812958389825
tent,perf_1_3_4_plus_2_on_glass_blur,"client_1,client_3,client_4",3,client_2,glass_blur,50,50,0.93,0.94,0.009999999999999898,0.00011206331562803798,0.03193653037077913,0.03204859368640717
tent,perf_0_1_3_4_plus_2_on_glass_blur,"client_0,client_1,client_3,client_4",4,client_2,glass_blur,50,50,0.93,0.94,0.009999999999999898,0.00014516133154193745,0.03140590345435173,0.031551064785893666
tent,perf_3_plus_2_on_stripe,client_3,1,client_2,stripe,50,50,0.93,0.95,0.019999999999999907,1.718796481322614e-05,0.01864390977773239,0.018661097742545617
tent,perf_1_3_plus_2_on_stripe,"client_1,client_3",2,client_2,stripe,50,50,0.94,0.95,0.010000000000000009,7.32836257623124e-05,0.03221522844922083,0.03228851207498314
tent,perf_1_plus_2_on_zigzag,client_1,1,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,2.37976303668143e-05,0.04074621287919995,0.040770010509566766
tent,perf_4_plus_2_on_zigzag,client_4,1,client_2,zigzag,50,50,0.88,0.89,0.010000000000000009,1.7546562480111453e-05,0.01725035081660972,0.01726789737908983
tent,perf_0_4_plus_2_on_zigzag,"client_0,client_4",2,client_2,zigzag,50,50,0.9,0.92,0.020000000000000018,6.879993014095684e-05,0.026560879608154456,0.02662967953829541
tent,perf_1_3_plus_2_on_zigzag,"client_1,client_3",2,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,7.32836257623124e-05,0.05111945409275396,0.05119273771851627
tent,perf_1_4_plus_2_on_zigzag,"client_1,client_4",2,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,6.958817105396735e-05,0.04128110099307766,0.04135068916413163
tent,perf_0_1_3_plus_2_on_zigzag,"client_0,client_1,client_3",3,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00011789187978229591,0.048699530505567384,0.04881742238534968
tent,perf_1_3_4_plus_2_on_zigzag,"client_1,client_3,client_4",3,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00011206331562803798,0.04579315592051398,0.04590521923614202
tent,perf_0_1_3_4_plus_2_on_zigzag,"client_0,client_1,client_3,client_4",4,client_2,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00014516133154193745,0.044837966350883794,0.04498312768242573
tent,perf_0_plus_3_on_brightness,client_0,1,client_3,brightness,50,50,0.6,0.64,0.040000000000000036,2.9095285933283444e-05,0.028659943347126633,0.028689038633059917
tent,perf_1_plus_3_on_brightness,client_1,1,client_3,brightness,50,50,0.63,0.67,0.040000000000000036,3.5808911043040873e-05,0.023718515346117075,0.023754324257160116
tent,perf_2_plus_3_on_brightness,client_2,1,client_3,brightness,50,50,0.59,0.62,0.030000000000000027,1.718796481322614e-05,0.027110636777033206,0.027127824741846433
tent,perf_4_plus_3_on_brightness,client_4,1,client_3,brightness,50,50,0.63,0.68,0.050000000000000044,2.6041978625172744e-05,0.028107451520476487,0.02813349349910166
tent,perf_0_1_plus_3_on_brightness,"client_0,client_1",2,client_3,brightness,50,50,0.64,0.65,0.010000000000000009,0.00011700042788472369,0.03718316373137423,0.03730016415925896
tent,perf_0_2_plus_3_on_brightness,"client_0,client_2",2,client_3,brightness,50,50,0.6,0.62,0.020000000000000018,9.571765026945278e-05,0.04251386383602569,0.042609581486295144
tent,perf_0_4_plus_3_on_brightness,"client_0,client_4",2,client_3,brightness,50,50,0.62,0.66,0.040000000000000036,0.00010479589736835736,0.039516857494420736,0.039621653391789094
tent,perf_1_2_plus_3_on_brightness,"client_1,client_2",2,client_3,brightness,50,50,0.62,0.64,0.020000000000000018,0.00010318689937957428,0.03289801658775145,0.03300120348713102
tent,perf_1_4_plus_3_on_brightness,"client_1,client_4",2,client_3,brightness,50,50,0.66,0.68,0.020000000000000018,0.00010972851309463825,0.04111119590178762,0.04122092441488226
tent,perf_2_4_plus_3_on_brightness,"client_2,client_4",2,client_3,brightness,50,50,0.63,0.66,0.030000000000000027,9.427796089954778e-05,0.04524358651333587,0.04533786447423542
tent,perf_0_1_2_plus_3_on_brightness,"client_0,client_1,client_2",3,client_3,brightness,50,50,0.62,0.64,0.020000000000000018,0.00017540321839343395,0.042135141604218426,0.04231054482261186
tent,perf_0_2_4_plus_3_on_brightness,"client_0,client_2,client_4",3,client_3,brightness,50,50,0.62,0.64,0.020000000000000018,0.0001665706368959026,0.049198084503373325,0.04936465514026923
tent,perf_1_2_4_plus_3_on_brightness,"client_1,client_2,client_4",3,client_3,brightness,50,50,0.64,0.66,0.020000000000000018,0.00017155404471081348,0.04547102202906619,0.045642576073777
tent,perf_0_1_2_4_plus_3_on_brightness,"client_0,client_1,client_2,client_4",4,client_3,brightness,50,50,0.64,0.66,0.020000000000000018,0.00022556684760611031,0.04873868974690673,0.048964256594512846
tent,perf_0_2_plus_3_on_stripe,"client_0,client_2",2,client_3,stripe,50,50,0.94,0.95,0.010000000000000009,9.571765026945278e-05,0.022653659834699004,0.022749377484968455
tent,perf_2_4_plus_3_on_stripe,"client_2,client_4",2,client_3,stripe,50,50,0.93,0.94,0.009999999999999898,9.427796089954778e-05,0.023876423572418332,0.02397070153331788
tent,perf_0_1_2_plus_3_on_stripe,"client_0,client_1,client_2",3,client_3,stripe,50,50,0.94,0.95,0.010000000000000009,0.00017540321839343395,0.02242145341248525,0.022596856630878685
tent,perf_0_4_plus_3_on_zigzag,"client_0,client_4",2,client_3,zigzag,50,50,0.89,0.92,0.030000000000000027,0.00010479589736835736,0.038530527706173164,0.03863532360354152
tent,perf_1_4_plus_3_on_zigzag,"client_1,client_4",2,client_3,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00010972851309463825,0.04024425088923354,0.04035397940232818
tent,perf_0_1_2_plus_3_on_zigzag,"client_0,client_1,client_2",3,client_3,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00017540321839343395,0.04115085562767962,0.04132625884607305
tent,perf_0_1_2_4_plus_3_on_zigzag,"client_0,client_1,client_2,client_4",4,client_3,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00022556684760611031,0.047493064445909755,0.04771863129351587
tent,perf_1_2_plus_4_on_glass_blur,"client_1,client_2",2,client_4,glass_blur,50,50,0.91,0.93,0.020000000000000018,0.00011937844897474902,0.0192453486939756,0.01936472714295035
tent,perf_0_2_3_plus_4_on_glass_blur,"client_0,client_2,client_3",3,client_4,glass_blur,50,50,0.93,0.94,0.009999999999999898,0.00018641426190008136,0.032749189929047864,0.032935604190947945
tent,perf_0_1_2_3_plus_4_on_glass_blur,"client_0,client_1,client_2,client_3",4,client_4,glass_blur,50,50,0.93,0.94,0.009999999999999898,0.00026833851716167,0.03183954365184216,0.03210788216900383
tent,perf_1_plus_4_on_stripe,client_1,1,client_4,stripe,50,50,0.91,0.94,0.029999999999999916,4.552402718002308e-05,0.0097518215907267,0.009797345617906723
tent,perf_3_plus_4_on_stripe,client_3,1,client_4,stripe,50,50,0.93,0.95,0.019999999999999907,2.6041978625172744e-05,0.014139340069829509,0.014165382048454682
tent,perf_1_2_plus_4_on_stripe,"client_1,client_2",2,client_4,stripe,50,50,0.93,0.94,0.009999999999999898,0.00011937844897474902,0.011577248417080575,0.011696626866055325
tent,perf_1_3_plus_4_on_stripe,"client_1,client_3",2,client_4,stripe,50,50,0.94,0.96,0.020000000000000018,0.00013428972401116545,0.016235832125990116,0.016370121850001283
tent,perf_0_3_plus_4_on_zigzag,"client_0,client_3",2,client_4,zigzag,50,50,0.89,0.9,0.010000000000000009,0.00012323935755005256,0.03987232303322158,0.03999556239077163
tent,perf_1_3_plus_4_on_zigzag,"client_1,client_3",2,client_4,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00013428972401116545,0.03210640407052083,0.032240693794532
tta_bn,perf_1_plus_0_on_brightness,client_1,1,client_0,brightness,50,50,0.66,0.67,0.010000000000000009,4.55042347391282e-05,6.671201714768975e-07,4.617135491060509e-05
tta_bn,perf_1_4_plus_0_on_brightness,"client_1,client_4",2,client_0,brightness,50,50,0.66,0.68,0.020000000000000018,0.00014955963193031698,7.540452882808339e-07,0.0001503136772185978
tta_bn,perf_2_4_plus_0_on_brightness,"client_2,client_4",2,client_0,brightness,50,50,0.64,0.66,0.020000000000000018,0.0001247931020937434,6.176841957302978e-07,0.0001254107862894737
tta_bn,perf_3_4_plus_0_on_brightness,"client_3,client_4",2,client_0,brightness,50,50,0.62,0.63,0.010000000000000009,0.00013586094995780718,6.822328834833403e-07,0.0001365431828412905
tta_bn,perf_2_3_4_plus_0_on_brightness,"client_2,client_3,client_4",3,client_0,brightness,50,50,0.62,0.63,0.010000000000000009,0.00021723723744227155,6.362586122030719e-07,0.00021787349605447462
tta_bn,perf_1_2_plus_0_on_glass_blur,"client_1,client_2",2,client_0,glass_blur,50,50,0.91,0.93,0.020000000000000018,0.00013167685145582228,0.003727251975203586,0.003858928826659408
tta_bn,perf_1_plus_0_on_stripe,client_1,1,client_0,stripe,50,50,0.92,0.94,0.019999999999999907,4.55042347391282e-05,2.4152556704147428e-08,4.552838729583234e-05
tta_bn,perf_3_plus_0_on_stripe,client_3,1,client_0,stripe,50,50,0.94,0.95,0.010000000000000009,2.9095285933283444e-05,4.9558772405607875e-08,2.914484470568905e-05
tta_bn,perf_1_3_plus_0_on_stripe,"client_1,client_3",2,client_0,stripe,50,50,0.94,0.96,0.020000000000000018,0.0001433463583450982,3.7442616493117505e-08,0.00014338380096159132
tta_bn,perf_1_plus_0_on_zigzag,client_1,1,client_0,zigzag,50,50,0.9,0.91,0.010000000000000009,4.55042347391282e-05,0.0005725010382346286,0.0006180052729737568
tta_bn,perf_2_3_4_plus_0_on_zigzag,"client_2,client_3,client_4",3,client_0,zigzag,50,50,0.9,0.91,0.010000000000000009,0.00021723723744227155,0.0014541542131668325,0.001671391450609104
tta_bn,perf_0_4_plus_1_on_brightness,"client_0,client_4",2,client_1,brightness,50,50,0.66,0.67,0.010000000000000009,0.00018734779659409378,2.9261937791335686e-06,0.00019027399037322736
tta_bn,perf_0_plus_1_on_glass_blur,client_0,1,client_1,glass_blur,50,50,0.91,0.92,0.010000000000000009,4.55042347391282e-05,0.002402999293226758,0.002448503527965886
tta_bn,perf_4_plus_1_on_glass_blur,client_4,1,client_1,glass_blur,50,50,0.9,0.92,0.020000000000000018,4.552402718002308e-05,0.0014696507159902587,0.0015151747431702818
