profile_id,composition_name,combination_size,corruption_category,before_accuracy,before_reliability_score,before_latency_seconds,after_corruption_accuracy,after_corruption_latency_seconds,accuracy_drop,weights_file
size1_C3,C3,1,zigzag,0.9872,0.974473793,4.291117291,0.8266,3.873449542000003,0.16059999999999997,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C3.pt
size1_C3,C3,1,spatter,0.9872,0.974473793,4.291117291,0.9706,3.923447083000042,0.016599999999999948,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size1_C3.pt
size2_C3_C4,C3_C4,2,fog,0.9871,0.974473793,4.155102875,0.184,3.8335835419999285,0.8030999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C4.pt
size2_C3_C4,C3_C4,2,translate,0.9871,0.974473793,4.155102875,0.5456,3.842046167000035,0.4415,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C4.pt
size2_C3_C4,C3_C4,2,stripe,0.9871,0.974473793,4.155102875,0.8908,3.819054999999935,0.09629999999999994,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C4.pt
size2_C3_C4,C3_C4,2,zigzag,0.9871,0.974473793,4.155102875,0.8536,3.8463416669999333,0.13349999999999995,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C4.pt
size2_C3_C4,C3_C4,2,spatter,0.9871,0.974473793,4.155102875,0.9741,3.916619290999961,0.013000000000000012,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C4.pt
size3_C3_C4_C5,C3_C4_C5,3,fog,0.9897,0.979365402,4.208927333,0.175,3.7343000829999937,0.8147,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C3_C4_C5.pt
size3_C3_C4_C5,C3_C4_C5,3,translate,0.9897,0.979365402,4.208927333,0.5558,3.7029005840000764,0.43390000000000006,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C3_C4_C5.pt
size3_C3_C4_C5,C3_C4_C5,3,stripe,0.9897,0.979365402,4.208927333,0.9008,3.748828791000051,0.08889999999999998,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C3_C4_C5.pt
size3_C3_C4_C5,C3_C4_C5,3,zigzag,0.9897,0.979365402,4.208927333,0.8565,3.955779542000073,0.13319999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C3_C4_C5.pt
size3_C3_C4_C5,C3_C4_C5,3,spatter,0.9897,0.979365402,4.208927333,0.9769,3.8937315839999656,0.012800000000000034,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size3_C3_C4_C5.pt
size2_C3_C5,C3_C5,2,fog,0.9886,0.981621711,4.160668417,0.1678,3.7278295410000055,0.8208,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C5.pt
size2_C3_C5,C3_C5,2,translate,0.9886,0.981621711,4.160668417,0.5554,3.7018957499999487,0.43320000000000003,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C5.pt
size2_C3_C5,C3_C5,2,stripe,0.9886,0.981621711,4.160668417,0.8847,3.747655583999972,0.10389999999999999,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C5.pt
size2_C3_C5,C3_C5,2,zigzag,0.9886,0.981621711,4.160668417,0.8401,3.853140916999905,0.14850000000000008,/Users/deepakkanneganti/Documents/Experimemt 3/MINIST/Performing composition/artifacts_expanded/profile/weights/size2_C3_C5.pt
