technique,score_threshold_rule,truth_threshold_rule,average_score,tp,fp,tn,fn,accuracy,precision,recall,f1
semantic_based,mean_minus_15pct,mean_minus_15pct,0.8850516645161489,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
semantic_based,mean_minus_15pct,mean_minus_16pct,0.8850516645161489,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
semantic_based,mean_minus_16pct,mean,0.8850516645161489,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
semantic_based,mean_minus_16pct,mean_minus_5pct,0.8850516645161489,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
semantic_based,mean_minus_16pct,mean_minus_10pct,0.8850516645161489,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
semantic_based,mean_minus_16pct,mean_minus_15pct,0.8850516645161489,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
semantic_based,mean_minus_16pct,mean_minus_16pct,0.8850516645161489,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
similarity_based,mean,mean,0.6065836069383753,1700,3800,3170,6830,0.3141935483870968,0.3090909090909091,0.19929660023446658,0.24233784746970774
similarity_based,mean,mean_minus_5pct,0.6065836069383753,2346,3154,1756,8244,0.26464516129032256,0.42654545454545456,0.22152974504249293,0.2916096954630205
similarity_based,mean,mean_minus_10pct,0.6065836069383753,3039,2461,799,9201,0.24761290322580645,0.5525454545454546,0.2482843137254902,0.3426155580608794
similarity_based,mean,mean_minus_15pct,0.6065836069383753,3716,1784,296,9704,0.25883870967741934,0.6756363636363636,0.27690014903129656,0.39281183932346725
similarity_based,mean,mean_minus_16pct,0.6065836069383753,3834,1666,229,9771,0.2621290322580645,0.6970909090909091,0.28180815876515986,0.40136090028788274
similarity_based,mean_minus_5pct,mean,0.6065836069383753,4985,5955,1015,3545,0.3870967741935484,0.4556672760511883,0.5844079718640094,0.5120698510529019
similarity_based,mean_minus_5pct,mean_minus_5pct,0.6065836069383753,6538,4402,508,4052,0.4545806451612903,0.5976234003656307,0.617374881964117,0.6073385973060845
similarity_based,mean_minus_5pct,mean_minus_10pct,0.6065836069383753,7881,3059,201,4359,0.5214193548387097,0.7203839122486289,0.6438725490196079,0.6799827437446074
similarity_based,mean_minus_5pct,mean_minus_15pct,0.6065836069383753,8927,2013,67,4493,0.580258064516129,0.8159963436928702,0.6652011922503726,0.7329228243021346
similarity_based,mean_minus_5pct,mean_minus_16pct,0.6065836069383753,9100,1840,55,4505,0.5906451612903226,0.8318098720292505,0.6688717383314958,0.7414952128743125
similarity_based,mean_minus_10pct,mean,0.6065836069383753,8006,6894,76,524,0.5214193548387097,0.5373154362416107,0.938569753810082,0.683397353819889
similarity_based,mean_minus_10pct,mean_minus_5pct,0.6065836069383753,10036,4864,46,554,0.6504516129032258,0.6735570469798657,0.9476864966949953,0.7874460572773637
similarity_based,mean_minus_10pct,mean_minus_10pct,0.6065836069383753,11662,3238,22,578,0.7538064516129033,0.7826845637583892,0.9527777777777777,0.8593957258658805
similarity_based,mean_minus_10pct,mean_minus_15pct,0.6065836069383753,12827,2073,7,593,0.828,0.8608724832214765,0.955812220566319,0.9058615819209039
similarity_based,mean_minus_10pct,mean_minus_16pct,0.6065836069383753,13012,1888,7,593,0.8399354838709677,0.8732885906040269,0.9564130834252114,0.9129626381336607
similarity_based,mean_minus_15pct,mean,0.6065836069383753,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
similarity_based,mean_minus_15pct,mean_minus_5pct,0.6065836069383753,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
similarity_based,mean_minus_15pct,mean_minus_10pct,0.6065836069383753,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
similarity_based,mean_minus_15pct,mean_minus_15pct,0.6065836069383753,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
similarity_based,mean_minus_15pct,mean_minus_16pct,0.6065836069383753,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
similarity_based,mean_minus_16pct,mean,0.6065836069383753,8530,6970,0,0,0.5503225806451613,0.5503225806451613,1.0,0.7099459009571369
similarity_based,mean_minus_16pct,mean_minus_5pct,0.6065836069383753,10590,4910,0,0,0.6832258064516129,0.6832258064516129,1.0,0.8118052893829054
similarity_based,mean_minus_16pct,mean_minus_10pct,0.6065836069383753,12240,3260,0,0,0.7896774193548387,0.7896774193548387,1.0,0.8824801730353281
similarity_based,mean_minus_16pct,mean_minus_15pct,0.6065836069383753,13420,2080,0,0,0.8658064516129033,0.8658064516129033,1.0,0.9280774550484094
similarity_based,mean_minus_16pct,mean_minus_16pct,0.6065836069383753,13605,1895,0,0,0.8777419354838709,0.8777419354838709,1.0,0.9348909122143961
mlaas_based,mean,mean,0.6714336943034688,1390,3730,3240,7140,0.29870967741935484,0.271484375,0.16295427901524032,0.2036630036630037
mlaas_based,mean,mean_minus_5pct,0.6714336943034688,1982,3138,1772,8608,0.24219354838709678,0.387109375,0.18715769593956563,0.2523233609166136
mlaas_based,mean,mean_minus_10pct,0.6714336943034688,2651,2469,791,9589,0.22206451612903225,0.5177734375,0.21658496732026145,0.3054147465437788
mlaas_based,mean,mean_minus_15pct,0.6714336943034688,3336,1784,296,10084,0.2343225806451613,0.6515625,0.24858420268256334,0.3598705501618123
mlaas_based,mean,mean_minus_16pct,0.6714336943034688,3456,1664,231,10149,0.23787096774193547,0.675,0.2540242557883131,0.36913217623498
mlaas_based,mean_minus_5pct,mean,0.6714336943034688,6751,6449,521,1779,0.46916129032258064,0.511439393939394,0.7914419695193435,0.6213529682466636
mlaas_based,mean_minus_5pct,mean_minus_5pct,0.6714336943034688,8553,4647,263,2037,0.5687741935483871,0.6479545454545454,0.8076487252124646,0.7190416141235814
mlaas_based,mean_minus_5pct,mean_minus_10pct,0.6714336943034688,10035,3165,95,2205,0.6535483870967742,0.7602272727272728,0.8198529411764706,0.7889150943396227
mlaas_based,mean_minus_5pct,mean_minus_15pct,0.6714336943034688,11146,2054,26,2274,0.7207741935483871,0.8443939393939394,0.8305514157973174,0.8374154770848985
